instrument,date,close
EURGBP,2026-09-09,0.8590899705886841
EURGBP,2026-09-10,0.8586300015449524
EURGBP,2026-09-11,0.8593699932098389
EURGBP,2026-09-15,0.8553199768066406
EURGBP,2026-09-16,0.8564599752426147
EURGBP,2026-09-17,0.8568800091743469
EURGBP,2026-09-18,0.8592900037765503
EURGBP,2026-09-22,0.8576099872589111
EURGBP,2026-09-23,0.8582299947738647
EURGBP,2026-09-24,0.8598999977111816
AUDCAD,2026-09-09,0.9947699904441832
AUDCAD,2026-09-10,0.9963499903678894
AUDCAD,2026-09-11,0.990530014038086
AUDCAD,2026-09-15,0.9918199777603148
AUDCAD,2026-09-16,0.99235999584198
AUDCAD,2026-09-17,0.9921299815177916
AUDCAD,2026-09-18,0.995299994945526
AUDCAD,2026-09-22,0.999019980430603
AUDCAD,2026-09-23,1.0008000135421753
AUDCAD,2026-09-24,0.991890013217926
EURCAD,2026-09-09,1.6039899587631226
EURCAD,2026-09-10,1.605720043182373
EURCAD,2026-09-11,1.6065200567245483
EURCAD,2026-09-15,1.6051199436187744
EURCAD,2026-09-16,1.6066099405288696
EURCAD,2026-09-17,1.6037499904632568
EURCAD,2026-09-18,1.6057599782943726
EURCAD,2026-09-22,1.609339952468872
EURCAD,2026-09-23,1.6101399660110474
EURCAD,2026-09-24,1.604599952697754
EURNZD,2026-09-09,1.9892499446868896
EURNZD,2026-09-10,1.9895100593566888
EURNZD,2026-09-11,1.9994100332260127
EURNZD,2026-09-15,1.9986399412155151
EURNZD,2026-09-16,2.007179975509644
EURNZD,2026-09-17,2.0053699016571045
EURNZD,2026-09-18,2.005239963531494
EURNZD,2026-09-22,2.009639978408813
EURNZD,2026-09-23,2.001970052719116
EURNZD,2026-09-24,2.0048000812530518
