date,close,high,low,pivot,resistance
2023-12-26 00:00:00,18660.523705,18683.726521,18523.490602,18524.218533666663,18604.65496333333
2023-12-27 00:00:00,18704.199594,18707.475286,18622.85325,18622.580276,18721.66995
2023-12-28 00:00:00,18659.977756,18742.688972,18647.147964,18678.176043333337,18733.498836666677
2023-12-29 00:00:00,18566.347569,18705.291491,18494.8283,18683.271564,18719.395164
2024-01-02 00:00:00,18269.351521,18604.290997,18150.061749,18588.822453333338,18682.816606666674
2024-01-03 00:00:00,18062.982944,18275.356956,18040.326077,18341.23475566667,18532.407762333336
2024-01-04 00:00:00,17962.528399,18111.572371,17946.422915,18126.22199233333,18212.117907666663
2024-01-05 00:00:00,17978.087935,18100.653399,17835.322371,18006.84122833333,18067.259541666663
2024-01-08 00:00:00,18331.043715,18356.157351,17883.36585,17971.354568333332,18107.386765666663
2024-01-09 00:00:00,18376.084476,18418.668468,18188.551126,18190.188972,18497.012094
2024-01-10 00:00:00,18515.301373,18543.690701,18345.511353,18327.76802333333,18466.98492066667
2024-01-11 00:00:00,18516.666245,18624.491096,18292.554338,18468.167809,18590.824265000003
2024-01-12 00:00:00,18513.390553,18608.658586,18416.484673,18477.903893,18663.253448
2024-01-15 00:00:00,18529.496037,18588.731462,18492.644505,18512.844604,18609.204535000004
2024-01-16 00:00:00,18538.231215,18599.104486,18356.7033,18536.95733466667,18581.27016433334
2024-01-17 00:00:00,18409.660316,18542.598804,18222.945889,18498.013000333336,18639.32270066667
2024-01-18 00:00:00,18690.277905,18699.559031,18381.270988,18391.735003,18560.524117000004
2024-01-19 00:00:00,19067.528398,19076.809525,18679.358932,18590.369308,18799.467627999995
2024-01-22 00:00:00,19059.612143,19201.012835,19036.136353,18941.232285,19203.105638000005
2024-01-23 00:00:00,19165.526175,19171.804584,19009.384871,19098.920443666662,19161.70453433333
2024-01-24 00:00:00,19250.421185,19428.673408,19165.253201,19115.571876666665,19221.75888233333
2024-01-25 00:00:00,19195.0074,19383.359673,19154.061254,19281.449264666662,19397.64532833333
2024-01-26 00:00:00,19113.388082,19252.332005,19071.077064,19244.142775666667,19334.22429733333
2024-01-29 00:00:00,19326.853991,19344.324347,19061.795938,19145.59905033333,19220.121036666667
2024-01-30 00:00:00,19075.717628,19365.616343,19072.168962,19244.324758666666,19426.85357933333
2024-01-31 00:00:00,18851.878695,19090.731215,18804.108191,19171.16764433333,19270.166326666666
2024-02-01 00:00:00,19247.964416,19268.437489,18849.148952,18915.57270033333,19027.03720966667
2024-02-02 00:00:00,19312.386353,19409.019258,19070.531116,19121.850285666664,19394.551619333328
2024-02-05 00:00:00,19329.31076,19376.262341,19167.436995,19263.978909,19457.426702000004
2024-02-06 00:00:00,19272.25913,19401.921926,19174.534327,19291.00336533333,19414.569735666668
2024-02-07 00:00:00,19497.189959,19518.208981,19249.875236,19282.905127666665,19391.27592833333
2024-02-08 00:00:00,19501.557548,19541.138823,19427.308537,19421.758058666663,19593.64088133333
2024-02-09 00:00:00,19695.915256,19731.67489,19492.82237,19490.001636,19552.694735
