instrument,date,close
AUDUSD,2026-09-18,0.7128599882125854
AUDUSD,2026-09-22,0.7124537229537964
AUDUSD,2026-09-23,0.7116931080818176
AUDUSD,2026-09-24,0.7035812139511108
USDJPY,2026-09-18,156.86099243164062
USDJPY,2026-09-22,157.3040008544922
USDJPY,2026-09-23,157.53500366210938
USDJPY,2026-09-24,158.1840057373047
GBPUSD,2026-09-18,1.3372201919555664
GBPUSD,2026-09-22,1.3375064134597778
GBPUSD,2026-09-23,1.3337956666946411
GBPUSD,2026-09-24,1.3232413530349731
NZDUSD,2026-09-18,0.5723115801811218
NZDUSD,2026-09-22,0.5711348056793213
NZDUSD,2026-09-23,0.5720824003219604
NZDUSD,2026-09-24,0.5676013231277466
