instrument,date,close
EURGBP,2025-08-11 00:00:00,0.8646000027656555
EURGBP,2025-08-12 00:00:00,0.8646799921989441
EURGBP,2025-08-13 00:00:00,0.8621399998664856
EURGBP,2025-08-14 00:00:00,0.8610299825668335
EURGBP,2025-08-17 00:00:00,0.8634999990463257
EURGBP,2025-08-18 00:00:00,0.8637499809265137
EURGBP,2025-08-19 00:00:00,0.8632400035858154
EURGBP,2025-08-20 00:00:00,0.8652799725532532
EURGBP,2025-08-21 00:00:00,0.8654000163078308
EURGBP,2025-08-24 00:00:00,0.866599977016449
EURGBP,2025-08-25 00:00:00,0.8632699847221375
EURGBP,2025-08-26 00:00:00,0.8634999990463257
EURGBP,2025-08-27 00:00:00,0.8625100255012512
EURGBP,2025-08-28 00:00:00,0.8645399808883667
EURGBP,2025-08-31 00:00:00,0.8656799793243408
EURGBP,2025-09-01 00:00:00,0.8647000193595886
EURGBP,2025-09-02 00:00:00,0.8692399859428406
EURGBP,2025-09-03 00:00:00,0.8674600124359131
EURGBP,2025-09-04 00:00:00,0.8670099973678589
EURGBP,2025-09-07 00:00:00,0.8680400252342224
EURGBP,2025-09-08 00:00:00,0.8683300018310547
EURGBP,2025-09-09 00:00:00,0.8654999732971191
EURGBP,2025-09-10 00:00:00,0.8646600246429443
EURGBP,2025-09-11 00:00:00,0.8642600178718567
EURGBP,2025-09-14 00:00:00,0.8651300072669983
EURGBP,2025-09-15 00:00:00,0.8647599816322327
EURGBP,2025-09-16 00:00:00,0.86940997838974
EURGBP,2025-09-17 00:00:00,0.8676199913024902
EURGBP,2025-09-18 00:00:00,0.8696500062942505
EURGBP,2025-09-21 00:00:00,0.871649980545044
EURGBP,2025-09-22 00:00:00,0.8730999827384949
EURGBP,2025-09-23 00:00:00,0.8735899925231934
EURGBP,2025-09-24 00:00:00,0.8730000257492065
EURGBP,2025-09-25 00:00:00,0.8744500279426575
EURGBP,2025-09-28 00:00:00,0.8729900121688843
EURGBP,2025-09-29 00:00:00,0.8730999827384949
EURGBP,2025-09-30 00:00:00,0.8729400038719177
EURGBP,2025-10-01 00:00:00,0.8704100251197815
EURGBP,2025-10-02 00:00:00,0.8719300031661987
EURGBP,2025-10-05 00:00:00,0.8717799782752991
EURGBP,2025-10-06 00:00:00,0.8683599829673767
EURGBP,2025-10-07 00:00:00,0.8683000206947327
EURGBP,2025-10-08 00:00:00,0.8677899837493896
EURGBP,2025-10-09 00:00:00,0.8693299889564514
EURGBP,2025-10-12 00:00:00,0.8699600100517273
EURGBP,2025-10-13 00:00:00,0.8675000071525574
EURGBP,2025-10-14 00:00:00,0.8709400296211243
EURGBP,2025-10-15 00:00:00,0.8687899708747864
EURGBP,2025-10-16 00:00:00,0.8701199889183044
EURGBP,2025-10-19 00:00:00,0.8682500123977661
EURGBP,2025-10-20 00:00:00,0.8686100244522095
EURGBP,2025-10-21 00:00:00,0.867900013923645
EURGBP,2025-10-22 00:00:00,0.8693900108337402
EURGBP,2025-10-23 00:00:00,0.8716700077056885
EURGBP,2025-10-27 00:00:00,0.8730300068855286
EURGBP,2025-10-28 00:00:00,0.8733000159263611
EURGBP,2025-10-29 00:00:00,0.8778300285339355
EURGBP,2025-10-30 00:00:00,0.8792999982833862
EURGBP,2025-10-31 00:00:00,0.8793500065803528
EURGBP,2025-11-03 00:00:00,0.8776199817657471
EURGBP,2025-11-04 00:00:00,0.8769199848175049
EURGBP,2025-11-05 00:00:00,0.8820000290870667
EURGBP,2025-11-06 00:00:00,0.8807799816131592
EURGBP,2025-11-07 00:00:00,0.87882000207901
EURGBP,2025-11-10 00:00:00,0.8783400058746338
EURGBP,2025-11-11 00:00:00,0.8773099780082703
EURGBP,2025-11-12 00:00:00,0.8809199929237366
EURGBP,2025-11-13 00:00:00,0.8829399943351746
EURGBP,2025-11-14 00:00:00,0.8842200040817261
EURGBP,2025-11-17 00:00:00,0.8826000094413757
EURGBP,2025-11-18 00:00:00,0.8809700012207031
EURGBP,2025-11-19 00:00:00,0.8807600140571594
EURGBP,2025-11-20 00:00:00,0.8834199905395508
EURGBP,2025-11-21 00:00:00,0.8814700245857239
EURGBP,2025-11-24 00:00:00,0.8786500096321106
EURGBP,2025-11-25 00:00:00,0.8789100050926208
EURGBP,2025-11-26 00:00:00,0.8788400292396545
EURGBP,2025-11-27 00:00:00,0.8758999705314636
EURGBP,2025-11-28 00:00:00,0.8760200142860413
EURGBP,2025-12-01 00:00:00,0.8762400150299072
EURGBP,2025-12-02 00:00:00,0.8786799907684326
EURGBP,2025-12-03 00:00:00,0.8795700073242188
EURGBP,2025-12-04 00:00:00,0.8741000294685364
EURGBP,2025-12-05 00:00:00,0.8739299774169922
EURGBP,2025-12-08 00:00:00,0.8735399842262268
EURGBP,2025-12-09 00:00:00,0.8734400272369385
EURGBP,2025-12-10 00:00:00,0.8740299940109253
EURGBP,2025-12-11 00:00:00,0.8739100098609924
EURGBP,2025-12-12 00:00:00,0.876579999923706
EURGBP,2025-12-15 00:00:00,0.8780199885368347
EURGBP,2025-12-16 00:00:00,0.8784499764442444
EURGBP,2025-12-17 00:00:00,0.8751400113105774
EURGBP,2025-12-18 00:00:00,0.8779000043869019
EURGBP,2025-12-19 00:00:00,0.8759599924087524
EURGBP,2025-12-22 00:00:00,0.8751299977302551
EURGBP,2025-12-23 00:00:00,0.8734300136566162
EURGBP,2025-12-24 00:00:00,0.8728100061416626
EURGBP,2025-12-26 00:00:00,0.8722699880599976
EURGBP,2025-12-29 00:00:00,0.872160017490387
EURGBP,2025-12-30 00:00:00,0.871399998664856
EURGBP,2025-12-31 00:00:00,0.8722400069236755
EURGBP,2026-01-02 00:00:00,0.8720499873161316
EURGBP,2026-01-05 00:00:00,0.8709700107574463
EURGBP,2026-01-06 00:00:00,0.8655700087547302
EURGBP,2026-01-07 00:00:00,0.8657100200653076
EURGBP,2026-01-08 00:00:00,0.8675699830055237
EURGBP,2026-01-09 00:00:00,0.867579996585846
EURGBP,2026-01-12 00:00:00,0.8677800297737122
EURGBP,2026-01-13 00:00:00,0.8663899898529053
EURGBP,2026-01-14 00:00:00,0.867110013961792
EURGBP,2026-01-15 00:00:00,0.8664100170135498
EURGBP,2026-01-16 00:00:00,0.8675000071525574
EURGBP,2026-01-19 00:00:00,0.8672299981117249
EURGBP,2026-01-20 00:00:00,0.86735999584198
EURGBP,2026-01-21 00:00:00,0.8725000023841858
EURGBP,2026-01-22 00:00:00,0.8698099851608276
EURGBP,2026-01-23 00:00:00,0.8705899715423584
EURGBP,2026-01-26 00:00:00,0.8678799867630005
EURGBP,2026-01-27 00:00:00,0.8682000041007996
EURGBP,2026-01-28 00:00:00,0.8692600131034851
EURGBP,2026-01-29 00:00:00,0.8662999868392944
EURGBP,2026-01-30 00:00:00,0.8666599988937378
EURGBP,2026-02-02 00:00:00,0.8661999702453613
EURGBP,2026-02-03 00:00:00,0.8628699779510498
EURGBP,2026-02-04 00:00:00,0.8625800013542175
EURGBP,2026-02-05 00:00:00,0.8648999929428101
EURGBP,2026-02-06 00:00:00,0.8709999918937683
EURGBP,2026-02-09 00:00:00,0.868910014629364
EURGBP,2026-02-10 00:00:00,0.8699100017547607
EURGBP,2026-02-11 00:00:00,0.871940016746521
EURGBP,2026-02-12 00:00:00,0.8716599941253662
